All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
 The steering was effected by means of a shutter attached by a cord to the top of the staff, which could be so manipulated that any segment of the male stone’s rays, or all the rays, or none at all, could be shut off at will.	  means of a shutter attached by a cord to the top of the staff , which could be so manipulated that any segment of the male stone ’s rays , or all the rays , or none at all , could be shut off at will effected The steering . 
Ahead, where these rays did not shine, Haunte was guided by the self-luminous nature of the rocks, grass, and trees.	Ahead , where these rays did not shine , the self - luminous nature of the rocks , grass , and trees guided Haunte . 
All the rest of the world was hidden by the mist.	the mist hid All the rest of the world . 
His face was thrown into strong relief by the vivid, sparkling blue-white rays.	the vivid , sparkling blue - white rays threw into strong relief His face . 
The way was lighted by the self-luminous snow and rocks.	the self - luminous snow and rocks lit The way . 
 “Surely that death is balanced by the life you have given me.”	  “ Surely that the life you have given me balances death . ” 
 “It is completed by anguish....	  “ anguish completes It .... 
The whole crest of this hill, from one end to the other, was crowned by a long row of enormous stone posts, shining brightly in the moonlight against a background of dark sky.	a long row of enormous stone posts from one end to the other , crowned The whole crest of this hill , , shining brightly in the moonlight against a background of dark sky . 
Behind them, the Lichstorm Mountains were blotted out from view by a haze that had gathered together.	Behind they , a haze that had gathered together blotted out from view the Lichstorm Mountains . 
On three sides they were surrounded by water.	On three sides water surrounded them . 
The floating island was still faintly illuminated by Alppain.	Alppain still faintly illuminated The floating island . 
Their whirling motion was accompanied by the waltzing rhythm.	the waltzing rhythm accompanied Their whirling motion . 
 Looking through the window, he was startled by a new sight.	  Looking through the window , a new sight startled him . 
 The first translation into English was published in 1905 in Tokyo by Capt.	  Capt published in 1905 in Tokyo The first translation into English . 
Though constituting in itself an important branch of Chinese literature, very little commentary of this kind has hitherto been made directly accessible by translation.	Though constituting in itself an important branch of Chinese literature , very little commentary of this kind translation has made directly accessible hitherto . 
This is supported by the internal evidence of I. § 15, in which it seems clear that some ruler is addressed.	the internal evidence of I. § 15 , in which it seems clear that some ruler is addressed supports This . 
B.C. Further proof of Sun Tzŭ’s antiquity is furnished by the archaic or wholly obsolete meanings attaching to a number of the words he uses.	the archaic or wholly obsolete meanings attaching to a number of the words he uses furnish B.C. Further proof of Sun Tzŭ ’s antiquity . 
So much has been observed by Pi I-hsun.	Pi I - hsun has observed So much . 
Wu is beaten by Ch’in and evacuates Ying.	Ch’in and evacuates Ying beats Wu . 
Hence, what more natural, as time went on, than that the acknowledged master of strategy, Sun Wu, should be popularly identified with that campaign, at first perhaps only in the sense that his brain conceived and planned it; afterwards, that it was actually carried out by him in conjunction with Wu Yuan, [34] Po P’ei and Fu Kai?	Hence , what more natural , as time went on , than that the acknowledged master of strategy , Sun Wu , should be popularly identified with that campaign , at first perhaps only in the sense that his brain conceived and planned it ; afterwards , that he actually carried out it in conjunction with Wu Yuan , [ 34 ] Po P’ei and Fu Kai ? 
This is followed by Ts’ao Kung’s preface to his edition, and the biography of Sun Tzŭ from the _Shih Chi_, both translated above.	Ts’ao Kung ’s preface follows This to his edition , and the biography of Sun Tzŭ from the _ Shih Chi _ , both translated above . 
As regards the body of the work, each separate sentence is followed by a note on the text, if required, and then by the various commentaries appertaining to it, arranged in chronological order.	As regards the body of the work , a note on the text follows each separate sentence , if required , and then by the various commentaries appertaining to it , arranged in chronological order . 
The gist of Sun Tzŭ’s work is thus summarized by him: "Practice benevolence and justice, but on the other hand make full use of artifice and measures of expediency."	he thus summarizes The gist of Sun Tzŭ ’s work Practice benevolence and justice : " , but on the other hand make full use of artifice and measures of expediency . " 
His commentary was published with a laudatory preface by the great Ou-yang Hsiu, from which we may cull the following:—  Later scholars have misread Sun Tzŭ, distorting his words and trying to make them square with their own one-sided views.	the great Ou - yang Hsiu , from which we may cull the following : — published with a laudatory preface His commentary   Later scholars have misread Sun Tzŭ , distorting his words and trying to make them square with their own one - sided views . 
The personal name of this commentator is given as above by Cheng Ch’iao in the _Tung Chih_, written about the middle of the twelfth century, but he appears simply as Ho Shih in the _Yu Hai_, and Ma Tuan-lin quotes Ch’ao	Cheng Ch’iao gives as above The personal name of this commentator in the _ Tung Chih _ , written about the middle of the twelfth century , but he appears simply as Ho Shih in the _ Yu Hai _ , and Ma Tuan - lin quotes Ch’ao 
The stormy years which followed the break-up of the Ch’in dynasty are illuminated by the transcendent genius of Han Hsin.	the transcendent genius of Han Hsin illuminate The stormy years which followed the break - up of the Ch’in dynasty . 
And in the establishment of the T’ang dynasty, one of the mightiest tasks achieved by man, the superhuman energy of Li Shih-min (afterwards the Emperor T’ai Tsung) was seconded by the brilliant strategy of Li Ching.	And in the establishment of the T’ang dynasty , one of the mightiest tasks achieved by man , the superhuman energy of Li Shih - min ( afterwards the brilliant strategy of Li Ching seconded the Emperor T’ai Tsung ) . 
Nowadays, the holding of trials and hearing of litigation, the imprisonment of offenders and their execution by flogging in the market-place, are all done by officials.	Nowadays , officials , all do the holding of trials and hearing of litigation , the imprisonment of offenders and their execution by flogging in the market - place . 
Duke Hsiang of Sung and King Yen of Hsu were brought to destruction by their misplaced humanity.	their misplaced humanity brought to destruction Duke Hsiang of Sung and King Yen of Hsu . 
The temple in question is still visited by those about the ascent of the Western Sacred Mountain.	those about the ascent of the Western Sacred Mountain still visits The temple in question . 
The art of war, then, is governed by five constant factors, to be taken into account in one’s deliberations, when seeking to determine the conditions obtaining in the field.	five constant factors , then , govern The art of war , to be taken into account in one ’s deliberations , when seeking to determine the conditions obtaining in the field . 
 [The truth of this pithy and profound saying will be admitted by every soldier.	  [ every soldier will admit The truth of this pithy and profound saying . 
 [This concise and difficult sentence is not well explained by any of the commentators.	  [ any of the commentators not well explains This concise and difficult sentence . 
When their substance is drained away, the peasantry will be afflicted by heavy exactions.	When their substance is drained away , heavy exactions will afflict the peasantry . 
Hence, though an obstinate fight may be made by a small force, in the end it must be captured by the larger force.	Hence , though an obstinate fight may be made by a small force , in the end the larger force must capture it . 
To ensure that your whole host may withstand the brunt of the enemy’s attack and remain unshaken—this is effected by manœuvers direct and indirect.	To ensure that your whole host may withstand the brunt of the enemy ’s attack and remain unshaken — manœuvers direct and indirect effect this . 
That the impact of your army may be like a grindstone dashed against an egg—this is effected by the science of weak points and strong.	That the impact of your army may be like a grindstone dashed against an egg — the science of weak points and strong effects this . 
In fact, all the enemy’s movements should be determined by the signs that we choose to give him."	In fact , the signs that we choose to give him should determine all the enemy ’s movements . " 
His body was immediately riddled by a volley of arrows, and his whole army thrown into confusion.	a volley of arrows immediately riddled His body , and his whole army thrown into confusion . 
 [This extremely concise expression is intelligibly paraphrased by Chia Lin: "even though we have constructed neither wall nor ditch."	  [ Chia Lin intelligibly paraphrases This extremely concise expression : " even though we have constructed neither wall nor ditch . " 
They may be taught by familiar illustrations or a dozen diagrams.	familiar illustrations or a dozen diagrams may teach them . 
Signal examples of this saying are afforded by the two famous passages across the Alps—that of Hannibal, which laid Italy at his mercy, and that of Napoleon two thousand years later, which resulted in the great victory of Marengo.]	the two famous passages across the Alps — that of Hannibal , which laid Italy at his mercy afford Signal examples of this saying , and that of Napoleon two thousand years later , which resulted in the great victory of Marengo . ] 
The latter State was attacked by Ch’i, and the duke was about to join battle at Ch’ang-cho, after the first roll of the enemy’s drums, when Ts’ao said: "Not just yet."	Ch’i attacked The latter State , and the duke was about to join battle at Ch’ang - cho , after the first roll of the enemy ’s drums , when Ts’ao said : " Not just yet . " 
That general, together with his colleague Tu Chung-wei was surrounded by a vastly superior army of Khitans in the year 945 A.D.	a vastly superior army of Khitans , together with his colleague Tu Chung - wei surrounded That general in the year 945 A.D. 
This excellent strategy was rewarded by the subsequent capture of no fewer than fourteen important district cities.	the subsequent capture of no fewer than fourteen important district cities rewarded This excellent strategy . 
Shortly afterwards, the whole of Ch’u was conquered by Ch’in, and the king Fu-ch’u led into captivity.]	Shortly afterwards , Ch’in conquered the whole of Ch’u , and the king Fu - ch’u led into captivity . ] 
The general meaning is made clear by Ts’ao Kung’s quotation from the _Ssu-ma Fa:_	Ts’ao Kung ’s quotation makes clear The general meaning from the _ Ssu - ma Fa : _ 
 [These words of Sun Tzŭ were once quoted by Han Hsin in explanation of the tactics he employed in one of his most brilliant battles, already alluded to on p. 28.	  [ Han Hsin once quoted These words of Sun Tzŭ in explanation of the tactics he employed in one of his most brilliant battles , already alluded to on p. 28 . 
A rather more obvious explanation is given by Tu Mu: "If the wind is in the east, begin burning to the east of the enemy, and follow up the attack yourself from that side.	Tu Mu gives A rather more obvious explanation If the wind is in the east , begin burning to the east of the enemy , and follow up the attack yourself from that side : " . 
Wu Tzŭ (ch. 4) speaks thus of the two elements: "If an army is encamped on low-lying marshy ground, from which the water cannot run off, and where the rainfall is heavy, it may be submerged by a flood.	Wu Tzŭ ( ch . 4 ) speaks thus of the two elements : " If an army is encamped on low - lying marshy ground , from which the water can not run off , and where the rainfall is heavy , a flood may submerge it . 
If an army is encamped in wild marsh lands thickly overgrown with weeds and brambles, and visited by frequent gales, it may be exterminated by fire."]   15.	If an army is encamped in wild marsh lands thickly overgrown with weeds and brambles , and visited by frequent gales , fire may exterminate it . " ]    15 . 
Even so far back as 597 B.C., these memorable words were uttered by Prince Chuang of the Ch’u State: "The [Chinese] character for ‘prowess’ is made up of [the characters for] ‘to stay’ and ‘a spear’ (cessation of hostilities).	Even so far back as 597 B.C. , Prince Chuang of the Ch’u State uttered these memorable words " The [ Chinese ] character for ‘ prowess ’ : is made up of [ the characters for ] ‘ to stay ’ and ‘ a spear ’ ( cessation of hostilities ) . 
 [Mei Yao-ch’en has rather an interesting note: "Knowledge of the spirit-world is to be obtained by divination; information in natural science may be sought by inductive reasoning; the laws of the universe can be verified by mathematical calculation: but the dispositions of an enemy are ascertainable through spies and spies alone."]   7.	  [ Mei Yao - ch’en has rather an interesting note : " Knowledge of the spirit - world is to be obtained by divination ; information in natural science may be sought by inductive reasoning ; mathematical calculation can verify the laws of the universe : but the dispositions of an enemy are ascertainable through spies and spies alone . " ]    7 . 
His father was much disquieted by this overweening conceit, and the flippancy with which he spoke of such a serious thing as war, and solemnly declared that if ever Kua was appointed general, he would bring ruin on the armies of Chao.	this overweening conceit much disquieted His father , and the flippancy with which he spoke of such a serious thing as war , and solemnly declared that if ever Kua was appointed general , he would bring ruin on the armies of Chao . 
He was accompanied by two other men.	two other men accompanied him . 
Its name was changed to Yin by P’an Keng in 1401.	P’an Keng changed to Yin Its name in 1401 . 
All his food was brought to him from the Gardens at Solomon’s orders by the birds.	the birds brought to he from the Gardens at Solomon ’s orders All his food . 
God's creatures, who were created on the sixth day and destined to be the most perfect among creatures, are abased by sin to an imperfection which is unknown among the creatures made before the sixth day.	sin abases God 's creatures , who were created on the sixth day and destined to be the most perfect among creatures , to an imperfection which is unknown among the creatures made before the sixth day . 
Orthodoxy was first defined by the Christian Jews and Greeks during the first eight hundred years.	the Christian Jews and Greeks first defined Orthodoxy during the first eight hundred years . 
Sins and virtues had been equalised by means of money.	means of money had equalised Sins and virtues . 
But his voice was stifled by the piercing sounds of the drums by which the sale of absolution for sin was announced in the streets.	But the piercing sounds of the drums stifled his voice by which the sale of absolution for sin was announced in the streets . 
Both of them were attracted by Primitive Christianity much more than by the official Church of their own time.	Primitive Christianity attracted Both of they much more than by the official Church of their own time . 
This permission was repeated by John VIII.	John VIII repeated This permission . 
The dreamy nature around me is pervaded by them, and my own life, I feel, is pervaded by them also.	they pervade The dreamy nature around I , and my own life , I feel , is pervaded by they also . 
A review was made by the Russian authors--a review of ancient and modern great men--and a verdict arrived at.	the Russian authors -- a review of ancient and modern great men made A review -- and a verdict arrived at . 
This war was prophesied by Dostojevsky forty years ago.	Dostojevsky prophesied This war forty years ago . 
Their life on earth, in this very limited sphere of life, is escorted by the whole of the Universe, from one end to the other.	the whole of the Universe , in this very limited sphere of life , escorts Their life on earth , from one end to the other . 
Moreover several people from widely scattered places are carried off by the comet and returned uninjured.	Moreover the comet carries off several people from widely scattered places and returned uninjured . 
This story, like “Round the World in Eighty Days” was first issued in “feuilleton” by the noted Paris newspaper “Le Temps.”	the noted Paris newspaper “ Le Temps first issued in “ feuilleton ” This story , like “ Round the World in Eighty Days ” . ” 
 This rapid altercation was thus brought to an end by the formal interchange of the names of the disputants.	  the formal interchange of the names of the disputants thus brought to an end This rapid altercation . 
The noontide sun, which usually illuminated the various projections of the coast with a dazzling brightness, was hidden by a dense mass of cloud, and the fog, which for some unaccountable cause, had hung for the last two months over nearly every region in the world, causing serious interruption to traffic between continent and continent, spread its dreary veil across land and sea.	a dense mass of cloud hid The noontide sun , which usually illuminated the various projections of the coast with a dazzling brightness , , and the fog , which for some unaccountable cause , had hung for the last two months over nearly every region in the world , causing serious interruption to traffic between continent and continent , spread its dreary veil across land and sea . 
It must be owned that the captain’s slumbers were by no means sound; he was agitated by the consciousness that he had hitherto been unable to account for his strange experiences by any reasonable theory.	It must be owned that the captain ’s slumbers were by no means sound ; the consciousness that he had hitherto been unable to account for his strange experiences by any reasonable theory agitated him . 
Though far from being advanced in the knowledge of natural philosophy, he had been instructed, to a certain degree, in its elementary principles; and, by an effort of memory, he managed to recall some general laws which he had almost forgotten.	Though far from being advanced in the knowledge of natural philosophy , an effort of memory had instructed , to a certain degree , in its elementary principles ; and , him , he managed to recall some general laws which he had almost forgotten . 
If this were actually the moon, her distance from the earth must have been increased by some millions of miles.	If this were actually the moon , some millions of miles must have increased her distance from the earth . 
Born on the count’s estates, the son of a serf who had been emancipated long before the famous edict of the Emperor Alexander, Procope was sincerely attached, by a tie of gratitude as well as of duty and affection, to his patron’s service.	Born on the count ’s estates , the son of a serf who had been emancipated long before the famous edict of the Emperor Alexander , a tie of gratitude as well as of duty and affection , to his patron ’s service sincerely attached , Procope . 
 All at once, his attention was arrested by a luminous speck straight ahead on the southern horizon.	  All at once , a luminous speck arrested his attention straight ahead on the southern horizon . 
Nor was this supposition suggested merely by the lowering of the temperature; it was strongly corroborated by the reduction of the apparent diameter of the sun’s disc to the precise dimensions which it would assume to an observer actually stationed on the surface of Mars.	Nor was this supposition suggested merely by the lowering of the temperature ; the reduction of the apparent diameter of the sun ’s disc to the precise dimensions which it would assume to an observer actually stationed on the surface of Mars strongly corroborated it . 
 Sudden and startling as the unexpected orders were, they were executed as if by magic.	  Sudden and startling as the unexpected orders were , magic executed as if them . 
It was proposed, by means of telescopes, to note the place where the ball first touched the water, and thus to obtain an approximation sufficiently accurate as to the true range.	means of telescopes proposed , It , to note the place where the ball first touched the water , and thus to obtain an approximation sufficiently accurate as to the true range . 
The practical test of these conclusions would be made by future investigation, but meanwhile the fact appeared very much to strengthen the presumption that, if Lieutenant Procope had not arrived at the whole truth, he had made a considerable advance towards it.	future investigation would make The practical test of these conclusions , but meanwhile the fact appeared very much to strengthen the presumption that , if Lieutenant Procope had not arrived at the whole truth , he had made a considerable advance towards it . 
The lid was fastened on by wax, and so securely that it would take a long immersion before any water could penetrate; there was no maker’s name to be deciphered; but impressed very plainly with a seal on the wax were the two initials “P. R.”  When the scrutiny of the outside was finished, the wax was removed and the cover opened, and the lieutenant drew out a slip of ruled paper, evidently torn from a common note-book.	wax fastened on The lid , and so securely that it would take a long immersion before any water could penetrate ; there was no maker ’s name to be deciphered ; but impressed very plainly with a seal on the wax were the two initials “ P. R. ”   When the scrutiny of the outside was finished , the wax was removed and the cover opened , and the lieutenant drew out a slip of ruled paper , evidently torn from a common note - book . 
Salt water freezes only at a lower temperature than fresh; the course of the _Dobryna_ was therefore unimpeded by ice, but it could not be concealed that there was the greatest necessity to maintain the utmost possible speed.	Salt water freezes only at a lower temperature than fresh ; ice therefore unimpeded the course of the _ Dobryna _ , but it could not be concealed that there was the greatest necessity to maintain the utmost possible speed . 
 Next day the direct progress of the _Dobryna_ was arrested by a long projection of land, which obliged her to turn southwards, until she reached what formerly would have been the southern extremity of Corsica.	  Next day a long projection of land , which obliged her to turn southwards arrested the direct progress of the _ Dobryna _ , until she reached what formerly would have been the southern extremity of Corsica . 
Of this, however, there was now no trace; the Strait of Bonifacio had been replaced by a vast expanse of water, which had at first all the appearance of being utterly desert; but on the following morning the explorers unexpectedly sighted a little island, which, unless it should prove, as was only too likely, to be of recent origin they concluded, from its situation, must be a portion of the northernmost territory of Sardinia.	Of this , however , there was now no trace ; a vast expanse of water , which had at first all the appearance of being utterly desert had replaced the Strait of Bonifacio ; but on the following morning the explorers unexpectedly sighted a little island , which , unless it should prove , as was only too likely , to be of recent origin they concluded , from its situation , must be a portion of the northernmost territory of Sardinia . 
 The silence of a few moments was broken by Servadac saying, “Do you not think we ought to explain our situation to the Spaniards?”	  Servadac broke The silence of a few moments saying , “ Do you not think we ought to explain our situation to the Spaniards ? ” 
The communication was received by all alike with the most supreme indifference.	all alike with the most supreme indifference received The communication . 
It was on the 10th of March that the captain and Lieutenant Procope started off once more to investigate the northwest corner of the island; on their way their conversation naturally was engrossed by the subject of the dire necessities which only too manifestly were awaiting them.	It was on the 10th of March that the captain and Lieutenant Procope started off once more to investigate the northwest corner of the island ; on their way the subject of the dire necessities which only too manifestly were awaiting them naturally engrossed their conversation . 
  The concert was succeeded by a ball, unquestionably the first that had ever taken place in Gallia.	   a ball succeeded The concert , unquestionably the first that had ever taken place in Gallia . 
 Before the evening of this day closed in, a most important change was effected in the condition of the Gallian Sea by the intervention of human agency.	  Before the evening of this day closed in , the intervention of human agency effected in the condition of the Gallian Sea a most important change . 
The lunar months, like the solar days, had been diminished by one-half.	one - half , like the solar days , had diminished The lunar months . 
It was entirely enclosed by rocks, and if ever a few icicles were formed there by the action of the cold, they were very soon melted by the fiery shower.	rocks entirely enclosed It , and if ever a few icicles were formed there by the action of the cold , them were very soon melted by the fiery shower . 
Unlike the polar winters of the earth, which ordinarily are affected by atmospheric influence, and liable to slight intermissions of their severity at various shiftings of the wind, Gallia’s winter was caused by her immense distance from the source of all light and heat, and the cold was consequently destined to go on steadily increasing until it reached the limit ascertained by Fourier to be the normal temperature of the realms of space.	Unlike the polar winters of the earth , which ordinarily are affected by atmospheric influence , and liable to slight intermissions of their severity at various shiftings of the wind , her immense distance from the source of all light and heat caused Gallia ’s winter , and the cold was consequently destined to go on steadily increasing until it reached the limit ascertained by Fourier to be the normal temperature of the realms of space . 
 The rest of the document had been so damaged by the beaks of the gulls that it was illegible.	  the beaks of the gulls that it was illegible so had damaged The rest of the document . 
 A strong desire was expressed by Lieutenant Procope that he should be allowed to accompany Captain Servadac instead of Count Timascheff.	  Lieutenant Procope expressed A strong desire that him should be allowed to accompany Captain Servadac instead of Count Timascheff . 
 Thirty-six hours later, the brave travelers were greeted by the acclamations of their fellow-colonists, who had been most anxiously awaiting their reappearance, and the still senseless _savant_, who had neither opened his eyes nor spoken a word throughout the journey, was safely deposited in the warmth and security of the great hall of Nina’s Hive.	  Thirty - six hours later , the acclamations of their fellow - colonists , who had been most anxiously awaiting their reappearance greeted the brave travelers , and the still senseless _ savant _ , who had neither opened his eyes nor spoken a word throughout the journey , was safely deposited in the warmth and security of the great hall of Nina ’s Hive . 
A diagram representing the elliptical orbit of the planet, accompanied by an ephemeris made out in minute detail, had been drawn out by the professor.	the professor had drawn out A diagram representing the elliptical orbit of the planet , accompanied by an ephemeris made out in minute detail , . 
Not only the diameters, but also the weights, of the French coins are rigidly determined by law, and as the silver five-franc pieces always weigh exactly twenty-five grammes, the united weight of forty of these coins is known to amount to one kilogramme.	law rigidly determines Not only the diameters , but also the weights , of the French coins , and as the silver five - franc pieces always weigh exactly twenty - five grammes , the united weight of forty of these coins is known to amount to one kilogramme . 
The belts themselves were occasionally broken by spots, which the records of astronomy describe as varying both in form and in extent.	spots , which the records of astronomy describe as varying both in form and in extent occasionally broke The belts themselves . 
 The astronomer, correct in his prognostications, ought to have been the most proud and contented of philosophers; his pride and contentment were both overshadowed by the certainty that the career of his comet was destined to be so transient, and that it must inevitably once again come into collision with the earth.	  The astronomer , correct in his prognostications , ought to have been the most proud and contented of philosophers ; the certainty both overshadowed his pride and contentment that the career of his comet was destined to be so transient , and that it must inevitably once again come into collision with the earth . 
He was accompanied by Ben Zoof and two Russian sailors.	Ben Zoof and two Russian sailors accompanied him . 
 And certain it was that no time must be lost in penetrating below the heart of the volcano; already the most protected of the many ramifications of Nina’s Hive were being pervaded by a cold that was insufferable.	  And certain it was that no time must be lost in penetrating below the heart of the volcano ; a cold that was insufferable werepervading already the most protected of the many ramifications of Nina ’s Hive . 
From the day that Isaac Hakkabut had entered upon his mercantile career, his dealings had all been carried on by a system of false weight.	From the day that Isaac Hakkabut had entered upon his mercantile career , a system of false weight all had carried on his dealings . 
But the island of Ceuta, which before the shock had commanded the opposite side of the strait, and had been occupied by Spaniards, had since been abandoned, and was therefore free to the first occupant who should lay claim to it.	But Spaniards , had occupied the island of Ceuta , which before the shock had commanded the opposite side of the strait , and had since been abandoned , and was therefore free to the first occupant who should lay claim to it . 
 The first voyage had been made by Servadac with several of the sailors.	  Servadac had made The first voyage with several of the sailors . 
 Count Timascheff’s desire to return to the world was quite equaled by Lieutenant Procope’s.	Lieutenant Procope quite equalled   Count Timascheff ’s desire to return to the world ’s . 
The leave taking was accompanied by genuine tokens of regard and goodwill.	genuine tokens of regard and goodwill accompanied The leave taking . 
    [Note: The Table of Contents and the list of illustrations were added by the transcriber.]	     [ Note : the transcriber added The Table of Contents and the list of illustrations . ] 
The mercantile feature was naturally preferred by gentle Goldy, and the hapless investor in green spectacles may be counted the first dissatisfied exhibitor on record at a modern exposition, for he skirts the century.	gentle Goldy naturally preferred The mercantile feature , and the hapless investor in green spectacles may be counted the first dissatisfied exhibitor on record at a modern exposition , for he skirts the century . 
It was followed by others under the Consulate and Empire in 1801, 1802, 1806.	others under the Consulate and Empire followed It in 1801 , 1802 , 1806 . 
 The first of the great fairs, in so many respects a model to all that came after, was beset at the outset by the same difficulty in arrangement encountered by them.	the same difficulty in arrangement encountered by they , beset at the outset   The first of the great fairs , in so many respects a model to all that came after . 
 The extraordinary steps made within five years in the arts of destruction were illustrated by the twelve-inch Armstrong rifles of England and the Essen gun, throwing a 1212-pound shot.	  the twelve - inch Armstrong rifles of England and the Essen gun illustrated The extraordinary steps made within five years in the arts of destruction , throwing a 1212 - pound shot . 
If the darkening of the imperial exchequer prove more than a passing shadow, and an ultimate loss on the speculation cease to be matter of question, the few millions it cost may be recovered by the disbanding of a regiment or two.	If the darkening of the imperial exchequer prove more than a passing shadow , and an ultimate loss on the speculation cease to be matter of question , the disbanding of a regiment or two may recover the few millions it cost . 
This Christian is mentioned by Sir John Malcolm as "Shahzed Musseah, or Belthazzar Bourbona" (by which Sir John means _Shahzahad Messiah_--a native appellation signifying "the Christian prince"--or _	Sir John Malcolm mentions This Christian as " Shahzed Musseah , or Belthazzar Bourbona " ( by which Sir John means _ Shahzahad Messiah_--a native appellation signifying " the Christian prince"--or _ 
 The town proper of Bhopal is enclosed by a much--decayed wall of masonry some two miles in circuit, within which is a fort, similar both in its condition and material to the wall.	  a much -- decayed wall of masonry encloses The town proper of Bhopal some two miles in circuit , within which is a fort , similar both in its condition and material to the wall . 
 Her performance being finished, the bayadère was succeeded by others, each of whom appeared to have her specialty--one imitating by her postures a serpent-charmer; another quite unequivocally representing a man-charmer; another rapidly executing what seemed an interminable pirouette.	  Her performance being finished , others , each of whom appeared to have her specialty -- one imitating by her postures a serpent - charmer ; another quite unequivocally representing a man - charmer ; another rapidly executing what seemed an interminable pirouette succeeded the bayadère . 
He is accompanied by Roaha, his wife, and also by three hundred millions of Gopis, or female attendants, each of whom has her own palace and three millions of private maids and waiting-women.	Roaha , his wife , and also accompanies him by three hundred millions of Gopis , or female attendants , each of whom has her own palace and three millions of private maids and waiting - women . 
A few years ago one Karsandas Mulji, a man of talent and education, was sued for libel in the court at Bombay by this sect, whose practices he had been exposing.	A few years ago this sect , whose practices he had been exposing sued for libel in the court at Bombay one Karsandas Mulji , a man of talent and education , . 
Since the publication of that paper a letter of distinction has been received by General Albert J. Myer from the International Congress of Geographical Sciences, held in Paris in 1875, which states that the United States signal service appeared to the Congress to deserve an exceptional reward.	Since the publication of that paper General Albert J. Myer has received a letter of distinction from the International Congress of Geographical Sciences , held in Paris in 1875 , which states that the United States signal service appeared to the Congress to deserve an exceptional reward . 
Our surfboat was overturned with thirteen aboard: 'leven of us was picked up by the other boat.	Our surfboat was overturned with thirteen aboard : ' the other boat picked up leven of we . 
A modification of his boat is now used by the National Lifeboat Institution, to which the entire care of the English life-saving service is committed.	the National Lifeboat Institution , to which the entire care of the English life - saving service is committed now uses A modification of his boat . 
In the last session of the Forty-second Congress a bill was introduced by Hon.	In the last session of the Forty - second Congress Hon introduced a bill . 
For the majority of points on the Pacific and lake coasts, where disasters were infrequent, lifeboats only were considered necessary, these in general to be manned by volunteer crews.	For the majority of points on the Pacific and lake coasts , where disasters were infrequent , lifeboats only were considered necessary , volunteer crews to man these in general . 
A bill founded on this report was prepared by Mr. Kimball, the chief both of the Revenue Marine and Life-saving Service, and became a law June, 1874.	Mr. Kimball , the chief both of the Revenue Marine and Life - saving Service prepared A bill founded on this report , and became a law June , 1874 . 
The measures promoting this end were carried through Congress by Senators Newell, Stockton, Hamlin, Boutwell, Chandler and Frelinghuysen, and Representatives Lynch, Hale of Maine, Cox, Hooper and Conger.	Senators Newell , Stockton , Hamlin , Boutwell , Chandler and Frelinghuysen , and Representatives Lynch , Hale of Maine , Cox , Hooper and Conger carried through Congress The measures promoting this end . 
 The work accomplished by the service may be clearly understood by a glance at the following figures.	  a glance at the following figures clearly may understand The work accomplished by the service . 
The ship is signaled--by flags in daytime, by rockets at night."	flags in daytime , by rockets signal -- The ship at night . " 
This boat was invented by Lieutenant Stodder."	Lieutenant Stodder invented This boat . " 
It is fastened on shore by this sand-anchor.	this sand - anchor fastens on shore It . 
That life-car, sir, was invented by Captain Douglass Ottinger, and this is the first one ever used.	Captain Douglass Ottinger invented That life - car , sir , , and this is the first one ever used . 
The car is drawn by another line from the shore to the vessel.	another line from the shore draws The car to the vessel . 
 Just at this point the conversation was interrupted by the entrance of Billy, bearing a peace-offering in the shape of a huge waiter of luncheon.	  Just at this point the entrance of Billy interrupted the conversation , bearing a peace - offering in the shape of a huge waiter of luncheon . 
The plantation residences were occupied chiefly by ladies, the gentlemen being generally with the army.	ladies occupied chiefly The plantation residences , the gentlemen being generally with the army . 
It was borne by Colonel William Washington's corps at Cowpens and Eutaw.]	Colonel William Washington 's corps at Cowpens and Eutaw bore It . ] 
The regular troops, who had seen some service, might have been easily distinguished from the less experienced militia by their superior sleeping arrangements.	their superior sleeping arrangements easily might have distinguished from the less experienced militia The regular troops , who had seen some service , . 
Sometimes, however, she is required by custom to wear a plain black cap.	Sometimes , however , custom requires her to wear a plain black cap . 
This is administered by the priest through a square opening in the iron grating dividing the nuns from the altar.	the priest administers This through a square opening in the iron grating dividing the nuns from the altar . 
When a novice receives a visit from one in the world she is accompanied by the "mistress," and if the visitor be a near relation and a woman the curtain behind the grating is withdrawn; if only a friend, the visitor does not even see the nun, as the thick curtain is drawn, and the only communication possible is by speech.	When a novice receives a visit from one in the world the " mistress accompany her , " and if the visitor be a near relation and a woman the curtain behind the grating is withdrawn ; if only a friend , the visitor does not even see the nun , as the thick curtain is drawn , and the only communication possible is by speech . 
This convent of the Sepolte Vive ("Buried Alive") is not formally sanctioned by the papal authority, but only _tolerated_.	the papal authority not formally sanctions This convent of the Sepolte Vive ( " Buried Alive " ) , but only _ tolerated _ . 
The house is supported chiefly by voluntary contributions, and the sisters often have lay assistants eager to share in their labor of love.	voluntary contributions support chiefly The house , and the sisters often have lay assistants eager to share in their labor of love . 
All this anxiety is avoided by this beautiful and inviting arrangement, which is generally under the management of the Sisters of Charity.	this beautiful and inviting arrangement , which is generally under the management of the Sisters of Charity avoids All this anxiety . 
